Name,GUID,Description,mapping type,target ID,target type,target name,target ref,Refs,Advanced hunting action type,Dependencies
Block credential stealing from the Windows local security authority subsystem (lsass.exe),9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,"This rule helps prevent credential stealing by locking down Local Security Authority Subsystem Service (LSASS).
LSASS authenticates users who sign in on a Windows computer. Microsoft Defender Credential Guard in Windows normally prevents attempts to extract credentials from LSASS. Some organizations can't enable Credential Guard on all of their computers because of compatibility issues with custom smartcard drivers or other programs that load into the Local Security Authority (LSA). In these cases, attackers can use tools like Mimikatz to scrape cleartext passwords and NTLM hashes from LSASS.
By default the state of this rule is set to block. In most cases, many processes make calls to LSASS for access rights that are not needed. For example, such as when the initial block from the ASR rule results in a subsequent call for a lesser privilege which subsequently succeeds. For information about the types of rights that are typically requested in process calls to LSASS, see: Process Security and Access Rights.
Enabling this rule doesn't provide additional protection if you have LSA protection enabled since the ASR rule and LSA protection work similarly. However, when LSA protection cannot be enabled, this rule can be configured to provide equivalent protection against malware that target lsass.exe.",mitigates,T1003.001,sub-technique,LSASS Memory,attack-pattern--65f2d882-3f41-4d48-8a06-29af77ec9f90,https://learn.microsoft.com/en-us/defender-endpoint/attack-surface-reduction-rules-reference#block-credential-stealing-from-the-windows-local-security-authority-subsystem,"AsrLsassCredentialTheftAudited
AsrLsassCredentialTheftBlocked",Microsoft Defender Antivirus
Block execution of potentially obfuscated scripts,5beb7efe-fd9a-4556-801d-275e5ffc04cc,"This rule detects suspicious properties within an obfuscated script.
Important:
PowerShell scripts are now supported for the ""Block execution of potentially obfuscated scripts"" rule.
Script obfuscation is a common technique that both malware authors and legitimate applications use to hide intellectual property or decrease script loading times. Malware authors also use obfuscation to make malicious code harder to read, which hampers close scrutiny by humans and security software.",mitigates,T1027.010,sub-technique,Command Obfuscation,attack-pattern--d511a6f6-4a33-41d5-bc95-c343875d1377,https://learn.microsoft.com/en-us/defender-endpoint/attack-surface-reduction-rules-reference#block-execution-of-potentially-obfuscated-scripts,"AsrObfuscatedScriptAudited
AsrObfuscatedScriptBlocked","Microsoft Defender Antivirus, AntiMalware Scan Interface (AMSI)"
Block execution of potentially obfuscated scripts,5beb7efe-fd9a-4556-801d-275e5ffc04cc,"This rule detects suspicious properties within an obfuscated script.
Important:
PowerShell scripts are now supported for the ""Block execution of potentially obfuscated scripts"" rule.
Script obfuscation is a common technique that both malware authors and legitimate applications use to hide intellectual property or decrease script loading times. Malware authors also use obfuscation to make malicious code harder to read, which hampers close scrutiny by humans and security software.",mitigates,T1027.013,sub-technique,Encrypted/Encoded File,attack-pattern--0d91b3c0-5e50-47c3-949a-2a796f04d144,https://learn.microsoft.com/en-us/defender-endpoint/attack-surface-reduction-rules-reference#block-execution-of-potentially-obfuscated-scripts,"AsrObfuscatedScriptAudited
AsrObfuscatedScriptBlocked","Microsoft Defender Antivirus, AntiMalware Scan Interface (AMSI)"
Block use of copied or impersonated system tools (preview),c0033c00-d16d-4114-a5a0-dc9b3a7d2ceb,"This rule blocks the use of executable files that are identified as copies of Windows system tools. These files are either duplicates or impostors of the original system tools.
Some malicious programs may try to copy or impersonate Windows system tools to avoid detection or gain privileges. Allowing such executable files can lead to potential attacks. This rule prevents propagation and execution of such duplicates and impostors of the system tools on Windows machines.
Note:
This capability is currently in preview. Additional upgrades to improve efficacy are under development.",mitigates,T1036.003,sub-technique,Rename System Utilities,attack-pattern--bd5b58a4-a52d-4a29-bc0d-3f1d3968eb6b,https://learn.microsoft.com/en-us/defender-endpoint/attack-surface-reduction-rules-reference#block-use-of-copied-or-impersonated-system-tools-preview,,Microsoft Defender Antivirus
Block use of copied or impersonated system tools (preview),c0033c00-d16d-4114-a5a0-dc9b3a7d2ceb,"This rule blocks the use of executable files that are identified as copies of Windows system tools. These files are either duplicates or impostors of the original system tools.
Some malicious programs may try to copy or impersonate Windows system tools to avoid detection or gain privileges. Allowing such executable files can lead to potential attacks. This rule prevents propagation and execution of such duplicates and impostors of the system tools on Windows machines.
Note:
This capability is currently in preview. Additional upgrades to improve efficacy are under development.",mitigates,T1036.005,sub-technique,Match Legitimate Name or Location,attack-pattern--1c4e5d32-1fe9-4116-9d9d-59e3925bd6a2,https://learn.microsoft.com/en-us/defender-endpoint/attack-surface-reduction-rules-reference#block-use-of-copied-or-impersonated-system-tools-preview,,Microsoft Defender Antivirus
Block process creations originating from PSExec and WMI commands,d1e49aac-8f56-4280-b9ba-993a6d77406c,"This rule blocks processes created through PsExec and WMI from running. Both PsExec and WMI can remotely execute code. There's a risk of malware abusing functionality of PsExec and WMI for command and control purposes, or to spread an infection throughout an organization's network.
Warning:
Only use this rule if you're managing your devices with Intune or another MDM solution. This rule is incompatible with management through Microsoft Endpoint Configuration Manager because this rule blocks WMI commands the Configuration Manager client uses to function correctly.",mitigates,T1047,technique,Windows Management Instrumentation,attack-pattern--01a5a209-b94c-450b-b7f9-946497d91055,https://learn.microsoft.com/en-us/defender-endpoint/attack-surface-reduction-rules-reference#block-process-creations-originating-from-psexec-and-wmi-commands,"AsrPsexecWmiChildProcessAudited
AsrPsexecWmiChildProcessBlocked",Microsoft Defender Antivirus
Block Office applications from injecting code into other processes,75668c1f-73b5-4cf0-bb93-3ecf5cb7cc84,"This rule blocks code injection attempts from Office apps into other processes.
Note:
The Block applications from injecting code into other processes ASR rule does not support WARN mode.
Important:
This rule requires restarting Microsoft 365 Apps (Office applications) for the configuration changes to take effect.
Attackers might attempt to use Office apps to migrate malicious code into other processes through code injection, so the code can masquerade as a clean process.
There are no known legitimate business purposes for using code injection.
This rule applies to Word, Excel, OneNote, and PowerPoint.",mitigates,T1055,technique,Process Injection,attack-pattern--43e7dc91-05b2-474c-b9ac-2ed4fe101f4d,https://learn.microsoft.com/en-us/defender-endpoint/attack-surface-reduction-rules-reference#block-office-applications-from-injecting-code-into-other-processes,"AsrOfficeProcessInjectionAudited
AsrOfficeProcessInjectionBlocked",Microsoft Defender Antivirus
Block JavaScript or VBScript from launching downloaded executable content,d3e037e1-3eb8-44c8-a917-57927947596d,"This rule prevents scripts from launching potentially malicious downloaded content. Malware written in JavaScript or VBScript often acts as a downloader to fetch and launch other malware from the Internet.
Although not common, line-of-business applications sometimes use scripts to download and launch installers.",mitigates,T1059.005,sub-technique,Visual Basic,attack-pattern--dfd7cc1d-e1d8-4394-a198-97c4cab8aa67,https://learn.microsoft.com/en-us/defender-endpoint/attack-surface-reduction-rules-reference#block-javascript-or-vbscript-from-launching-downloaded-executable-content,"AsrScriptExecutableDownloadAudited
AsrScriptExecutableDownloadBlocked","Microsoft Defender Antivirus, AMSI"
Block JavaScript or VBScript from launching downloaded executable content,d3e037e1-3eb8-44c8-a917-57927947596d,"This rule prevents scripts from launching potentially malicious downloaded content. Malware written in JavaScript or VBScript often acts as a downloader to fetch and launch other malware from the Internet.
Although not common, line-of-business applications sometimes use scripts to download and launch installers.",mitigates,T1059.007,sub-technique,JavaScript,attack-pattern--0f4a0c76-ab2d-4cb0-85d3-3f0efb8cba0d,https://learn.microsoft.com/en-us/defender-endpoint/attack-surface-reduction-rules-reference#block-javascript-or-vbscript-from-launching-downloaded-executable-content,"AsrScriptExecutableDownloadAudited
AsrScriptExecutableDownloadBlocked","Microsoft Defender Antivirus, AMSI"
Block abuse of exploited vulnerable signed drivers,56a863a9-875e-4185-98a7-b882c64b5ce5,"This rule prevents an application from writing a vulnerable signed driver to disk. In-the-wild, vulnerable signed drivers can be exploited by local applications - that have sufficient privileges - to gain access to the kernel. Vulnerable signed drivers enable attackers to disable or circumvent security solutions, eventually leading to system compromise.
The Block abuse of exploited vulnerable signed drivers rule doesn't block a driver already existing on the system from being loaded.",mitigates,T1068,technique,Exploitation for Privilege Escalation,attack-pattern--b21c3b2d-02e6-45b1-980b-e69051040839,https://learn.microsoft.com/en-us/defender-endpoint/attack-surface-reduction-rules-reference#block-abuse-of-exploited-vulnerable-signed-drivers,"AsrVulnerableSignedDriverAudited
AsrVulnerableSignedDriverBlocked",Microsoft Defender Antivirus
